time_s,force_V_raw,force_V
0.0,7.739,1.5478
0.5,7.741,1.5482
1.0,7.745,1.5486
1.5,7.746,1.5486
2.0,7.745,1.549
2.5,7.743,1.549
3.0,7.743,1.5492000000000001
3.5,7.747,1.5493999999999999
4.0,7.757,1.5504
4.5,7.753,1.5506
5.0,7.752,1.5506
5.5,7.756,1.5506
6.0,7.756,1.5512000000000001
6.5,7.756,1.5512000000000001
7.0,7.757,1.5512000000000001
7.5,7.753,1.5512000000000001
8.0,7.759,1.5514
8.5,7.753,1.5514
9.0,7.767,1.5518
9.5,7.767,1.5526
10.0,7.767,1.5526
10.5,7.767,1.5532
11.0,7.766,1.5532
11.5,7.756,1.5534000000000001
12.0,7.767,1.5534000000000001
12.5,7.763,1.5534000000000001
13.0,7.767,1.5534000000000001
13.5,7.766,1.5534000000000001
14.0,7.767,1.5534000000000001
14.5,7.763,1.5534000000000001
15.0,7.767,1.5534000000000001
15.5,7.774,1.5542
16.0,7.776,1.5544
16.5,7.771,1.5546
17.0,7.772,1.5546
17.5,7.776,1.5546
18.0,7.774,1.5546
18.5,7.773,1.5548
19.0,7.776,1.5548
19.5,7.774,1.5548
20.0,7.773,1.5548
20.5,7.787,1.5552
21.0,7.773,1.5552
21.5,7.773,1.5552
22.0,7.776,1.5552
22.5,7.781,1.5562
23.0,7.781,1.5562
23.5,7.787,1.5566
24.0,7.733,1.5568
24.5,7.786,1.5572
25.0,7.786,1.5572
25.5,7.786,1.5572
26.0,7.786,1.5572
26.5,7.786,1.5572
27.0,7.784,1.5572
27.5,7.787,1.5574
28.0,7.797,1.5574
28.5,7.783,1.5574
29.0,7.787,1.5582
29.5,7.797,1.5582
30.0,7.797,1.5584
30.5,7.791,1.5588
31.0,7.792,1.5588
31.5,7.796,1.5588
32.0,7.794,1.5588
32.5,7.794,1.5588
33.0,7.796,1.5592000000000001
33.5,7.791,1.5588
34.0,7.796,1.5592000000000001
34.5,7.796,1.5592000000000001
35.0,7.796,1.5592000000000001
35.5,7.794,1.5592000000000001
36.0,7.796,1.5592000000000001
36.5,7.793,1.5592000000000001
37.0,7.793,1.5592000000000001
37.5,7.997,1.5592000000000001
38.0,7.797,1.5594
38.5,7.793,1.5594
39.0,7.797,1.5602
39.5,7.801,1.5602
40.0,7.802,1.5602
40.5,7.801,1.5604
41.0,7.801,1.5604
41.5,7.803,1.5606
42.0,7.803,1.5606
42.5,7.802,1.5606
43.0,7.803,1.5606
43.5,7.806,1.5606
44.0,7.807,1.5606
44.5,7.807,1.5606
45.0,7.804,1.5606
45.5,7.803,1.5606
46.0,7.803,1.5608
46.5,7.806,1.5612
47.0,7.803,1.5612
47.5,7.803,1.5614000000000001
48.0,7.803,1.5614000000000001
48.5,7.811,1.5622
49.0,7.813,1.5626
49.5,7.813,1.5626
50.0,7.816,1.5626
50.5,7.816,1.5632
51.0,7.816,1.5632
51.5,7.816,1.5632
52.0,7.816,1.5632
52.5,7.813,1.5632
53.0,7.816,1.5632
53.5,7.816,1.5632
54.0,7.816,1.5632
54.5,7.817,1.5632
55.0,7.827,1.5632
55.5,7.816,1.5632
56.0,7.827,1.5632
56.5,7.813,1.5632
57.0,7.827,1.5634000000000001
57.5,7.827,1.5642
58.0,7.813,1.5642
58.5,7.813,1.5642
59.0,7.821,1.5642
59.5,7.813,1.5642
60.0,7.821,1.5644
60.5,7.827,1.5644
61.0,7.821,1.5646
61.5,7.821,1.5646
62.0,7.822,1.5648
62.5,7.826,1.5648
63.0,7.821,1.5646
63.5,7.824,1.5648
64.0,7.826,1.5652
64.5,7.826,1.5652
65.0,7.826,1.5652
65.5,7.823,1.5652
66.0,7.826,1.5652
66.5,7.826,1.5652
67.0,7.827,1.5652
67.5,7.837,1.5652
68.0,7.823,1.5652
68.5,7.827,1.5654
69.0,7.832,1.5654
69.5,7.837,1.5664
70.0,7.823,1.5664
70.5,7.832,1.5664
71.0,7.833,1.5666
71.5,7.811,1.5666
72.0,7.833,1.5666
72.5,7.834,1.5666
73.0,7.835,1.5666
73.5,7.832,1.5666
74.0,7.833,1.5666
74.5,7.835,1.5666
75.0,7.837,1.5666
75.5,7.833,1.5666
76.0,7.837,1.5666
76.5,7.837,1.5668
77.0,7.833,1.567
77.5,7.836,1.567
78.0,7.833,1.5672000000000001
78.5,7.833,1.5674
79.0,7.847,1.5674
79.5,7.833,1.5674
80.0,7.833,1.5682
80.5,7.847,1.5682
81.0,7.841,1.5684
81.5,7.841,1.5688
82.0,7.844,1.5688
82.5,7.844,1.5688
83.0,7.842,1.5688
83.5,7.844,1.5688
84.0,7.844,1.5688
84.5,7.846,1.5688
85.0,7.844,1.5688
85.5,7.845,1.5688
86.0,7.844,1.5688
86.5,7.846,1.569
87.0,7.844,1.569
87.5,7.847,1.569
88.0,7.846,1.569
88.5,7.845,1.569
89.0,7.846,1.569
89.5,7.846,1.5692
90.0,7.843,1.5692
90.5,7.846,1.5692
91.0,7.847,1.5692
91.5,7.847,1.5692
92.0,7.843,1.5692
92.5,7.851,1.5694000000000001
93.0,7.843,1.5694000000000001
93.5,7.843,1.5694000000000001
94.0,7.843,1.5702
94.5,7.857,1.5702
95.0,7.857,1.5704
95.5,7.852,1.5704
96.0,7.851,1.5704
96.5,7.853,1.5704
97.0,7.852,1.5706
97.5,7.854,1.5706
98.0,7.852,1.5706
98.5,7.852,1.5708
99.0,7.854,1.5708
99.5,7.853,1.5708
100.0,7.856,1.5708
100.5,7.856,1.5708
101.0,7.853,1.5708
101.5,7.854,1.5708
102.0,7.856,1.5712
102.5,7.854,1.5712
103.0,7.856,1.5712
103.5,7.857,1.5712
104.0,7.857,1.5712
104.5,7.853,1.5714000000000001
105.0,7.857,1.5714000000000001
105.5,7.861,1.5714000000000001
106.0,7.861,1.5722
106.5,7.867,1.5722
107.0,7.863,1.5722
107.5,7.861,1.5722
108.0,7.867,1.5722
108.5,7.866,1.5722
109.0,7.856,1.5726
109.5,7.864,1.5728
110.0,7.864,1.5728
110.5,7.866,1.5728
111.0,7.866,1.5728
111.5,7.866,1.5728
112.0,7.856,1.5728
112.5,7.856,1.5728
113.0,7.865,1.5728
113.5,7.856,1.5728
114.0,7.866,1.5726
114.5,7.877,1.5726
115.0,7.863,1.5726
115.5,7.862,1.5726
116.0,7.867,1.5726
116.5,7.863,1.5726
117.0,7.856,1.5726
117.5,7.863,1.573
118.0,7.867,1.5732
118.5,7.863,1.5734
119.0,7.863,1.5734
119.5,7.863,1.5742
120.0,7.871,1.5742
120.5,7.876,1.5752000000000002
121.0,7.887,1.5762
121.5,7.883,1.5762
122.0,7.887,1.5762
122.5,7.881,1.5762
123.0,7.882,1.5764
123.5,7.887,1.5764
124.0,7.881,1.5766
124.5,7.882,1.5766
125.0,7.887,1.5768
125.5,7.881,1.5772
126.0,7.884,1.5772
126.5,7.881,1.5772
127.0,7.886,1.5774
127.5,7.886,1.5774
128.0,7.889,1.5774
128.5,7.883,1.5778
129.0,7.894,1.5786
129.5,7.896,1.5786
130.0,7.894,1.5786
130.5,7.896,1.5786
131.0,7.894,1.5788
131.5,7.897,1.5788
132.0,7.893,1.5788
132.5,7.893,1.5792
133.0,7.893,1.5792
133.5,7.893,1.5794000000000001
134.0,7.904,1.5808
134.5,7.906,1.5812
135.0,7.906,1.5812
135.5,7.907,1.5812
136.0,7.907,1.5812
136.5,7.906,1.5814
